"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
1;"Abbazia Pisani";01/01/2000;;"FREAT";35.88;"VILLA DEL CONTE (PD)";"PD";"LFREAT, TFREAT";1722112.864;5055354.843;45.61601966;11.84846973;"";"";" ";
2;"Badoere";01/12/2014;;"FREAT";23;"MORGANO (TV)";"TV";"LFREAT, TFREAT";1740876;5057580;45.62976774;12.08988081;"";"";" ";
3;"Barche";01/01/2000;;"FREAT";39.81;"PADOVA (PD)";"PD";"LFREAT, TFREAT";1709874.908;5053221.099;45.60064125;11.69077049;"";"";" ";
4;"Barcon";01/01/2000;;"FREAT";66.32;"VEDELAGO (TV)";"TV";"LFREAT, TFREAT";1734309.855;5067426.626;45.72051694;12.01051177;"";"";" ";
5;"Pozzo Battocchio";01/01/2000;;"FREAT";42.3;"FONTANIVA (PD)";"PD";"LFREAT, TFREAT";1713507.992;5057134.005;45.63471323;11.7390153;"";"";" ";
8;"Bressanvido";01/01/2000;;"FREAT";56.87;"BRESSANVIDO (VI)";"VI";"LFREAT, TFREAT";1706441.46;5058496.16;45.64909809;11.64902851;"";"";" ";
12;"San Massimo";01/01/2000;;"FREAT";85.48;"VERONA (VR)";"VR";"LFREAT, TFREAT";1650269.93;5033209.78;45.43607238;10.92087275;"";"";" ";
13;"Castagnole";01/01/2000;;"FREAT";30.82;"PAESE (TV)";"TV";"LFREAT, TFREAT";1747800.236;5064498.735;45.68950885;12.18210095;"";"";" ";
14;"Castelfranco Veneto";01/01/2000;;"FREAT";41.79;"CASTELFRANCO VENETO (TV)";"TV";"LFREAT, TFREAT";1728496.395;5061839.529;45.67223932;11.93328086;"";"";" ";
15;"Castello di Godego";01/01/2000;;"FREAT";66;"CASTELLO DI GODEGO (TV)";"TV";"LFREAT, TFREAT";1724561.93;5063911.47;45.69214983;11.8837906;"";"";" ";
16;"Cimadolmo";01/01/2000;;"FREAT";22.55;"CIMADOLMO (TV)";"TV";"LFREAT, TFREAT";1763045.546;5072789.333;45.75838119;12.38205614;"";"";" ";
18;"Cittadella";01/01/2000;;"FREAT";47.11;"CITTADELLA (PD)";"PD";"LFREAT, TFREAT";1716798.185;5058482.244;45.6458142;11.78177901;"";"";" ";
21;"Madonna di Dossobuono";01/12/2015;;"FREAT";42.37;"VILLAFRANCA DI VERONA (VR)";"VR";"LFREAT, TFREAT";1651504;5030225;45.40895504;10.93572225;"";"";" ";
22;"Dueville";01/01/2000;;"FREAT";59.87;"DUEVILLE (VI)";"VI";"LFREAT, TFREAT";1698897.581;5057256.319;45.64015371;11.55180687;"";"";" ";
23;"Eraclea";01/01/2000;;"FREAT";1.35;"ERACLEA (VE)";"VE";"CONDUC, LFREAT, TFREAT";1790692.594;5058122.084;45.61557895;12.7280616;"";"";" ";
26;"Istrana";01/01/2000;;"FREAT";39.99;"ISTRANA (TV)";"TV";"LFREAT, TFREAT";1741142.485;5063266.627;45.68078365;12.09611322;"";"";" ";
27;"Lido di Venezia";01/01/2000;;"FREAT";6.37;"VENEZIA (VE)";"VE";"CONDUC, LFREAT, TFREAT";1764320.476;5034839.975;45.4169189;12.37788381;"";"";" ";
28;"Mareno di Piave";01/01/2000;;"FREAT";36.04;"MARENO DI PIAVE (TV)";"TV";"LFREAT, TFREAT";1760182.688;5082662.307;45.84817309;12.35062799;"";"";" ";
