"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
2;"Cordevole a la Vizza";12/04/1984;30/07/2020;"IDRO";1813;"LIVINALLONGO DEL COL DI LANA (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN, PORT";1718635;5152339;46.48892309;11.84843594;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
3;"Arabba";09/12/1983;;"METEO";1642;"LIVINALLONGO DEL COL DI LANA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, FREQGEONOR, HUMIDEX2M, INDSEREN, PREC, PRECGEONOR, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1720711.174;5153644.921;46.49998395;11.87607301;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
4;"Belluno Viale Europa";01/05/1991;07/06/2006;"METEO";392;"BELLUNO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, PRESS, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1746856;5113883;46.13363166;12.19539506;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
5;"Lago di Alleghe";05/12/1985;16/06/2017;"IDRO";970;"ALLEGHE (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN";1732019;5143277;46.40300953;12.01807956;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
6;"Cordevole a Saviner CAE";18/04/1984;;"CAEI";1014;"ROCCA PIETORE (BL)";"BL";"LIDRO, LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT, PORT";1729455;5147590;46.44264642;11.98688899;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
7;"Boite a Perarolo";01/03/1991;24/09/2015;"IDRO";539;"PERAROLO DI CADORE (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN";1757740.933;5143932.549;46.39903518;12.35482221;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
8;"Cordevole a Sass Muss";07/12/1989;24/07/2006;"IDRO";343;"SEDICO (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1740783;5114313;46.1396655;12.11711366;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
9;"Caprile";01/03/1984;;"METEO";1007;"ALLEGHE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1729706.442;5147353.788;46.44043805;11.99004162;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
10;"Selva di Cadore";03/07/1984;28/11/2001;"METEO";1494;"SELVA DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1733606;5148934;46.45330107;12.0415261;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
11;"Malga Ciapela";01/01/1985;;"METEO";1475;"ROCCA PIETORE (BL)";"BL";"ET0, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M";1723206;5145802;46.42867129;11.90478762;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
12;"Cordevole a Ponte Chenet";10/05/1985;11/12/2000;"IDRO";761;"CENCENIGHE AGORDINO (BL)";"BL";"LIDRO";1728597;5137651;46.35361199;11.97087583;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
13;"Biois a Cencenighe";01/02/1984;29/09/2010;"IDRMET";770;"CENCENIGHE AGORDINO (BL)";"BL";"DVENTO5M, DVENTO5M, LIDRO, LIDROMAX, LIDROMIN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1728263;5137495;46.35232258;11.96646459;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
