codstz,tiposens,datetime,valore,nome,comune,quota,x,y
153,LFREAT,2019-11-26T15:00:00Z,22.76,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T16:00:00Z,22.74,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T17:00:00Z,22.73,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T18:00:00Z,22.71,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T19:00:00Z,22.69,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T20:00:00Z,22.67,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T21:00:00Z,22.65,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T22:00:00Z,22.63,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-26T23:00:00Z,22.61,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T00:00:00Z,22.59,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T01:00:00Z,22.56,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T02:00:00Z,22.54,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T03:00:00Z,22.52,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T04:00:00Z,22.5,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T05:00:00Z,22.48,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T06:00:00Z,22.46,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T07:00:00Z,22.44,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T08:00:00Z,22.42,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-27T09:00:00Z,22.4,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
