anno,mese,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,11,LFREAT,105,21.09,21.82038095238095,21.38,21.75,21.38,22.7284,22.76,0.49666372273385684
2019,11,TFREAT,105,12.85,12.874095238095238,12.86,12.87,12.86,12.9,12.9,0.016448944208300422
2019,12,LFREAT,744,19.01,19.7175,19.52,19.63,19.52,20.921400000000002,21.08,0.46535207875385964
2019,12,TFREAT,744,12.64,12.72627688172043,12.68,12.72,12.68,12.84,12.85,0.05770844904056087
2020,1,LFREAT,744,19.02,20.98302419354839,19.5475,20.87,19.5475,23.5714,23.68,1.4837068886109535
2020,1,TFREAT,744,12.63,12.688991935483871,12.64,12.67,12.64,12.8,12.81,0.051629490039512206
2020,2,LFREAT,696,23.68,25.514712643678163,24.767500000000002,25.62,24.767500000000002,26.891000000000002,26.94,0.9280873366003293
2020,2,TFREAT,696,12.8,12.967715517241379,12.89,12.97,12.89,13.11,13.12,0.08984773428412683
2020,3,LFREAT,722,25.62,26.37785318559557,25.83,26.39,25.83,27.23,27.23,0.5603582325036697
2020,3,TFREAT,722,13.11,13.262479224376731,13.18,13.25,13.18,13.43,13.43,0.09476199976612439
2020,4,LFREAT,720,25.84,26.85902777777778,26.4575,27,26.4575,27.53,27.56,0.4876601330300976
2020,4,TFREAT,720,13.43,13.504166666666666,13.48,13.51,13.48,13.55,13.55,0.032535419877304135
2020,5,LFREAT,744,26.13,27.195336021505376,26.4375,27.61,26.4375,27.77,27.78,0.6351932082733885
2020,5,TFREAT,744,13.3,13.58119623655914,13.56,13.57,13.56,13.62,13.62,0.027321803653160195
2020,6,LFREAT,720,23.47,25.135444444444445,23.7975,25.095,23.7975,26.84,26.85,1.2844003908773627
2020,6,TFREAT,720,13.55,13.602388888888889,13.59,13.61,13.59,13.62,13.63,0.021289811307831842
2020,7,LFREAT,744,24.07,26.145752688172042,25.3275,26.32,25.3275,27.53,27.55,1.0207294112292196
2020,7,TFREAT,744,13.41,13.490604838709677,13.46,13.5,13.46,13.55,13.56,0.04162622605117247
2020,8,LFREAT,744,26.98,27.260443548387098,27.09,27.19,27.09,27.71,27.71,0.2350314363699951
2020,8,TFREAT,744,13.13,13.269583333333333,13.19,13.27,13.19,13.4,13.41,0.08387302806176389
2020,9,LFREAT,720,24.84,25.557875,25.03,25.475,25.03,26.9962,27.1,0.5896908135313642
2020,9,TFREAT,720,12.92,12.995458333333334,12.93,12.97,12.93,13.12,13.13,0.06708980084120371
2020,10,LFREAT,744,21.53,23.920833333333334,22.2175,23.795,22.2175,26.24,26.25,1.6766694070636647
2020,10,TFREAT,744,12.72,12.830940860215053,12.76,12.835,12.76,12.92,12.93,0.07008110469540998
2020,11,LFREAT,720,21.26,22.339208333333332,21.397499999999997,22.17,21.397499999999997,24.0362,24.11,0.9433671890297909
2020,11,TFREAT,720,12.68,12.689791666666666,12.68,12.69,12.68,12.71,12.72,0.009109803825010934
2020,12,LFREAT,744,20.23,22.486532258064518,20.89,22.165,20.89,24.86,24.87,1.6582265467209467
2020,12,TFREAT,744,12.69,12.772405913978496,12.71,12.74,12.71,12.93,12.93,0.07154132175658334
2021,1,LFREAT,744,19.2,19.78494623655914,19.38,19.87,19.38,20.41,20.42,0.4000433991420469
2021,1,TFREAT,744,12.93,13.165255376344087,13.05,13.17,13.05,13.37,13.38,0.12822607620830254
2021,2,LFREAT,672,19.71,19.882544642857145,19.79,19.89,19.79,20.13,20.13,0.10583511245980923
2021,2,TFREAT,672,13.38,13.618184523809523,13.49,13.61,13.49,13.87,13.88,0.1467023768066717
2021,3,LFREAT,744,20.13,21.3859811827957,20.34,21.125,20.34,23.53,23.6,1.100204191091347
2021,3,TFREAT,744,13.87,14.11521505376344,14.02,14.14,14.02,14.27,14.27,0.11584998416466306
2021,4,LFREAT,720,23.05,23.2450625,23.12,23.18,23.12,23.7,23.7,0.19166270568461602
2021,4,TFREAT,720,14.27,14.328486111111111,14.32,14.34,14.32,14.35,14.36,0.02277207196609047
2021,5,LFREAT,744,20.16,21.602002688172043,20.69,21.675,20.69,23.011400000000002,23.07,0.9296479861696387
2021,5,TFREAT,744,13.89,14.122016129032257,14.01,14.14,14.01,14.3,14.31,0.127962476658746
2021,6,LFREAT,720,20.12,21.670694444444443,20.36,21.3,20.36,24.1662,24.27,1.3838660309524797
2021,6,TFREAT,720,13.57,13.712402777777777,13.64,13.7,13.64,13.88,13.89,0.08708494401954889
2021,7,LFREAT,744,24.27,25.156747311827957,24.79,25.13,24.79,25.8114,25.82,0.4162388932789603
2021,7,TFREAT,744,13.1,13.37385752688172,13.27,13.39,13.27,13.57,13.58,0.1327148396550647
2021,8,LFREAT,744,24.22,24.94370295698925,24.46,24.66,24.46,26.18,26.23,0.6106238490248919
2021,8,TFREAT,744,12.57,12.78388440860215,12.64,12.74,12.64,13.09,13.47,0.16359468864322665
2021,9,LFREAT,720,26.24,27.329055555555556,26.85,27.39,26.85,28.18,28.21,0.5698748829055281
