anno,trimestre,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,4,LFREAT,849,19.01,19.977573616018844,19.56,19.65,19.56,22.4208,22.76,0.8365537470813784
2019,4,TFREAT,849,12.64,12.744558303886926,12.68,12.73,12.68,12.89,12.9,0.0729520662279769
2020,1,LFREAT,2162,19.02,24.243487511563366,22.1625,25.57,22.1625,27.2,27.23,2.615554414996536
2020,1,TFREAT,2162,12.63,12.970235892691951,12.72,12.97,12.72,13.42,13.43,0.24955506885248965
2020,2,LFREAT,2184,23.47,26.405380036630035,26.13,26.7,26.13,27.76,27.78,1.253581380629338
2020,2,TFREAT,2184,13.3,13.562788461538462,13.53,13.57,13.53,13.62,13.63,0.05018115724987473
2020,3,LFREAT,2208,24.07,26.32965579710145,25.45,26.585,25.45,27.69,27.71,0.9901626093396013
2020,3,TFREAT,2208,12.92,13.254669384057971,13.06,13.274999999999999,13.06,13.55,13.56,0.21255150355397387
2020,4,LFREAT,2208,20.23,22.921788949275363,21.53,22.69,21.53,26.21,26.25,1.6349628725958323
2020,4,TFREAT,2208,12.68,12.765190217391304,12.69,12.73,12.69,12.92,12.93,0.082055381821433307
2021,1,LFREAT,2160,19.2,20.366777777777777,19.81,20.03,19.81,23.35,23.6,1.0113004531065954
2021,1,TFREAT,2160,12.93,13.633375,13.27,13.61,13.27,14.26,14.27,0.41540278073317255
2021,2,LFREAT,2184,20.12,22.166316391941393,20.8775,22.53,20.8775,23.97,24.27,1.2289715766535239
2021,2,TFREAT,2184,13.57,14.055045787545788,13.78,14.14,13.78,14.35,14.36,0.2704687871618249
2021,3,LFREAT,2208,24.22,25.793322010869566,24.73,25.49,24.73,28.1186,28.21,1.1995914230524953
2021,3,TFREAT,2208,12.48,12.894547101449275,12.53,12.75,12.53,13.55,13.58,0.37950421184260286
2021,4,LFREAT,2208,25.47,27.205221920289855,25.947499999999998,27.24,25.947499999999998,28.83,28.86,1.1592291337482037
2021,4,TFREAT,2208,12.05,12.233220108695653,12.08,12.21,12.08,12.49,12.49,0.15134947275466332
2022,1,LFREAT,2160,27.27,29.57201851851852,28.71,29.71,28.71,31.17,31.23,1.0837821683567286
2022,1,TFREAT,2160,12.09,12.354930555555555,12.2,12.36,12.2,12.61,13.07,0.16518350510323515
2022,2,LFREAT,1,31.23,31.23,31.23,31.23,31.23,31.23,31.23,NA
2022,2,TFREAT,1,12.62,12.62,12.62,12.62,12.62,12.62,12.62,NA
