anno,semestre,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,2,LFREAT,849,19.01,19.977573616018844,19.56,19.65,19.56,22.4208,22.76,0.8365537470813784
2019,2,TFREAT,849,12.64,12.744558303886926,12.68,12.73,12.68,12.89,12.9,0.0729520662279769
2020,1,LFREAT,4346,19.02,25.32990566037736,24.17,26.18,24.17,27.73,27.78,2.3153121590532417
2020,1,TFREAT,4346,12.63,13.26801196502531,12.97,13.44,12.97,13.62,13.63,0.3464632495460869
2020,2,LFREAT,4416,20.23,24.625722373188406,22.69,24.94,22.69,27.647,27.71,2.174947301303987
2020,2,TFREAT,4416,12.68,13.009929800724638,12.73,12.92,12.73,13.54,13.56,0.2930200763989915
2021,1,LFREAT,4344,19.2,21.271518186003682,20.03,20.69,20.03,23.7,24.27,1.4413022340903567
2021,1,TFREAT,4344,12.93,13.845375230202578,13.59,13.9,13.59,14.35,14.36,0.40867334725974136
2021,2,LFREAT,4416,24.22,26.49927196557971,25.48,26.275,25.48,28.776999999999997,28.86,1.3746195639146923
2021,2,TFREAT,4416,12.05,12.563883605072464,12.21,12.49,12.21,13.53,13.58,0.4391005158347501
2022,1,LFREAT,2161,27.27,29.572785747339196,28.71,29.71,28.71,31.178000000000004,31.23,1.0841180981949359
2022,1,TFREAT,2161,12.09,12.355053216103656,12.2,12.36,12.2,12.61,13.07,0.16524367371785298
