anno,mese,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,1,TARIA2M,743,-6.1,1.7570659488559892,-1.3,1.6,-1.3,9.7,11.8,3.8483063106520583
2019,2,TARIA2M,672,-1.9,6.121577380952381,2.8,5.85,2.8,15.9,21.9,4.648201602135248
2019,3,TARIA2M,744,-0.3,9.876209677419356,5.7,9.2,5.7,21.514,23.5,5.078027630700384
2019,4,TARIA2M,720,5,13.314305555555556,10.5,12.6,10.5,22.524,24.1,4.031407063381024
2019,5,TARIA2M,744,5.7,14.944354838709678,12.5,14.5,12.5,23.828,25.5,3.9568425988043496
2019,6,TARIA2M,720,13.2,25.672083333333333,22.1,25.5,22.1,35.062,38.4,4.748215223582181
2019,7,TARIA2M,744,13.8,25.3119623655914,21.6,24.95,21.6,35.1,37,4.829391220693531
2019,8,TARIA2M,744,15.3,25.09731182795699,21.775000000000002,24.75,21.775000000000002,32.7,34.6,4.267312079887603
2019,9,PREC,623,0,0.10914927768860354,0,0,0,1.223999999999978,10.8,0.8229210863359221
2019,9,TARIA2M,720,8.6,19.74513888888889,16.1,19.2,16.1,29.162,33.1,4.635426710385894
2019,10,PREC,744,0,0.06774193548387097,0,0,0,0.6,13.8,0.6874630115600944
2019,10,TARIA2M,744,7.8,15.40013440860215,12.7,14.8,12.7,23.3,25.9,3.677535379724308
2019,11,PREC,720,0,0.4066666666666667,0,0,0,4.248000000000002,14.6,1.241408863598253
2019,11,TARIA2M,720,2,10.17625,8.674999999999999,10.2,8.674999999999999,15.362000000000002,19.4,2.6823857198785976
2019,12,PREC,744,0,0.14220430107526882,0,0,0,2.2,6.2,0.6234048661301254
2019,12,TARIA2M,744,-3.9,5.491532258064516,1.6749999999999998,5.6,1.6749999999999998,13.2,16,4.488129498726941
2020,1,PREC,744,0,0.026881720430107527,0,0,0,0.4,2.2,0.14047777345062273
2020,1,TARIA2M,744,-3.5,3.2068548387096776,-0.5,2.9,-0.5,11.4,14.8,4.254067017755039
2020,2,PREC,696,0,0.011206896551724138,0,0,0,0,3,0.13588286431952518
2020,2,TARIA2M,696,-3,6.944827586206896,3.8,6.9,3.8,14.5,16.2,4.230805386074267
2020,3,PREC,744,0,0.14112903225806453,0,0,0,2.2279999999999975,11.8,0.7984688001304965
2020,3,TARIA2M,744,-1.6,9.319086021505376,6.4,9.1,6.4,19.114,21,4.109672302185676
2020,4,PREC,720,0,0.043611111111111114,0,0,0,0.2,14,0.5673923603273784
2020,4,TARIA2M,720,-0.5,14.489166666666666,10.4,14.6,10.4,24.224000000000004,25.7,5.639032396604782
2020,5,PREC,744,0,0.11397849462365592,0,0,0,1.0279999999999974,27,1.1125217941554886
2020,5,TARIA2M,744,9.7,18.246505376344086,15.1,18.05,15.1,26,27,4.121481478142081
2020,6,PREC,720,0,0.22305555555555556,0,0,0,2.6,24.8,1.3758786686901485
2020,6,TARIA2M,720,11.2,21.174166666666668,17.3,20.8,17.3,31.262,32.1,4.712478551985221
2020,7,PREC,744,0,0.05779569892473119,0,0,0,0.8,6.4,0.44527546020330894
2020,7,TARIA2M,744,14.7,24.4247311827957,20.674999999999997,24.2,20.674999999999997,33.2,36.1,4.47981039095915
2020,8,PREC,744,0,0.1860215053763441,0,0,0,2.6,14.2,1.1413284883173807
2020,8,TARIA2M,744,14.3,24.633870967741935,20.875,23.9,20.875,34.114,36,4.801119549173379
2020,9,PREC,720,0,0.08638888888888889,0,0,0,0.6,31.4,1.2062116762588275
2020,9,TARIA2M,720,7.3,20.48111111111111,17.1,20.2,17.1,30.9,31.9,5.159538624658978
2020,10,PREC,744,0,0.17983870967741936,0,0,0,2.6279999999999974,8,0.8158404666884049
2020,10,TARIA2M,744,3.9,12.983602150537635,10.1,13.1,10.1,20,21.7,3.805835985089986
2020,11,PREC,720,0,0.021944444444444444,0,0,0,0.2,4.6,0.22430010996278046
2020,11,TARIA2M,720,-2.3,7.722916666666666,4.2,7.9,4.2,17.823999999999998,19.7,5.064322269433366
2020,12,PREC,696,0,0.22988505747126436,0,0,0,2.6200000000000045,6.6,0.7187703236334343
2020,12,TARIA2M,744,-2.7,5.136693548387097,2.7,5.2,2.7,11.813999999999998,13.6,3.3914087216474704
2021,1,PREC,744,0,0.17956989247311828,0,0,0,2.6,6,0.6742419724175966
2021,1,TARIA2M,744,-5.6,2.5298387096774193,-0.4,2.95,-0.4,8.8,10.8,3.7302765442292434
2021,2,PREC,672,0,0.06101190476190476,0,0,0,1.2,3.8,0.332310055569241
2021,2,TARIA2M,672,-6,6.859226190476191,4.1,7.25,4.1,19.448000000000025,22.9,5.1105167271527705
2021,3,PREC,744,0,0.01881720430107527,0,0,0,0,5.6,0.2502665043567371
2021,3,TARIA2M,744,-2.5,8.558736559139785,4.5,8.45,4.5,20.5,25.1,5.235938447865154
2021,4,PREC,720,0,0.18527777777777776,0,0,0,2.6,14.6,1.0305783409769211
2021,4,TARIA2M,720,-1.9,11.840972222222222,8.9,11.8,8.9,22.424,24.7,4.688215231582461
2021,5,PREC,744,0,0.25268817204301075,0,0,0,4.027999999999997,9.4,1.0999171776332268
2021,5,TARIA2M,744,7,15.959946236559139,13.1,15.4,13.1,23.114,25.3,3.721594326479925
2021,6,PREC,720,0,0.058055555555555555,0,0,0,0.4,8.6,0.5182795946365811
2021,6,TARIA2M,720,11.9,24.238888888888887,20.8,24,20.8,32.861999999999995,33.8,4.795981035258362
2021,7,PREC,744,0,0.21827956989247313,0,0,0,2.4,24.6,1.6835805103781798
2021,7,TARIA2M,744,15.5,24.463709677419356,21.1,24,21.1,31.814,33.3,4.217122082160015
2021,8,PREC,744,0,0.10698924731182796,0,0,0,0.2,48.2,1.8215561565999954
2021,8,TARIA2M,744,12,23.436424731182797,19.674999999999997,23.1,19.674999999999997,33.9,35.3,5.000832082821011
2021,9,PREC,720,0,0.03638888888888889,0,0,0,0.4,8,0.3605871643240492
2021,9,TARIA2M,720,11.1,20.398055555555555,16.7,19.8,16.7,29.124,31,4.5228914400888085
2021,10,PREC,744,0,0.07876344086021506,0,0,0,0.2,21,0.9743855864168696
2021,10,TARIA2M,744,2.4,13.000940860215053,9.1,13.149999999999999,9.1,22.713999999999995,25.6,4.908411400680285
2021,11,PREC,720,0,0.20777777777777778,0,0,0,2.448000000000002,13,0.9815803190428126
2021,11,TARIA2M,720,-2.3,9.068472222222223,6.9,9,6.9,16.224000000000004,18.1,3.565023709109832
2021,12,PREC,744,0,0.06236559139784946,0,0,0,0.8279999999999973,4,0.3264603520374394
2021,12,TARIA2M,744,-3,3.563037634408602,0.8,3.9,0.8,10.6,12,3.332985666358073
2022,1,PREC,744,0,0.023655913978494623,0,0,0,0.2,2,0.14445169881084294
2022,1,TARIA2M,744,-4.8,2.3420698924731185,-1.2,1.9,-1.2,10.514,13.1,4.0400640315084795
2022,2,PREC,672,0,0.0744047619047619,0,0,0,1.2,5,0.49262786005450465
2022,2,TARIA2M,672,-2.4,5.906101190476191,2.4,5.7,2.4,13.8,16.7,4.301426822008652
2022,3,PREC,744,0,0.012903225806451613,0,0,0,0,1.6,0.1157579564646402
2022,3,TARIA2M,744,-3.8,8.525672043010752,5,8.3,5,20.814,22.4,5.168279853163631
2022,4,PREC,1,0,0,0,0,0,0,0,NA
2022,4,TARIA2M,1,9.9,9.9,9.9,9.9,9.9,9.9,9.9,NA
