anno,trimestre,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,1,TARIA2M,2159,-6.1,5.913432144511348,1.8,5.5,1.8,18.984000000000016,23.5,5.662486119921087
2019,2,TARIA2M,2184,5,17.943589743589744,12.5,16.5,12.5,32.7,38.4,6.923975959363945
2019,3,PREC,623,0,0.10914927768860354,0,0,0,1.223999999999978,10.8,0.8229210863359221
2019,3,TARIA2M,2208,8.6,23.424365942028984,19.775000000000002,23.1,19.775000000000002,33.7,37,5.2481627359917224
2019,4,PREC,2208,0,0.20335144927536233,0,0,0,2.8,14.6,0.9016360298125667
2019,4,TARIA2M,2208,-3.9,10.357925724637681,7.7,10.6,7.7,21.6,25.9,5.499380914196484
2020,1,PREC,2184,0,0.060805860805860805,0,0,0,0.8,11.8,0.48266561230843485
2020,1,TARIA2M,2184,-3.5,6.480265567765568,3.075,6.6,3.075,16.134000000000015,21,4.906520545133028
2020,2,PREC,2184,0,0.12673992673992673,0,0,0,1.6,27,1.0752618252305632
2020,2,TARIA2M,2184,-0.5,17.972985347985347,14.6,18,14.6,29.2,32.1,5.56574852428741
2020,3,PREC,2208,0,0.11032608695652174,0,0,0,1.2,31.4,0.9911261382122264
2020,3,TARIA2M,2208,7.3,23.20923913043478,19.5,22.8,19.5,33.2,36.1,5.1768047520407565
2020,4,PREC,2160,0,0.14333333333333334,0,0,0,2.2,8,0.6480040256280813
2020,4,TARIA2M,2208,-2.7,8.62409420289855,4.7,8.4,4.7,18.9,21.7,5.279726645568719
2021,1,PREC,2160,0,0.08731481481481482,0,0,0,1.6,6,0.46592675154715457
2021,1,TARIA2M,2160,-6,5.953379629629629,2.2,6,2.2,18.7,25.1,5.3827437438968975
2021,2,PREC,2184,0,0.1663003663003663,0,0,0,2.6,14.6,0.9255174499391527
2021,2,TARIA2M,2184,-1.9,17.331364468864468,12.674999999999999,16.5,12.674999999999999,31.6,33.8,6.771217870466722
2021,3,PREC,2208,0,0.12146739130434783,0,0,0,0.6,48.2,1.4557578204292443
2021,3,TARIA2M,2208,11.1,22.791802536231884,19,22.45,19,32.3,35.3,4.901268139253525
2021,4,PREC,2208,0,0.11530797101449275,0,0,0,1.4,21,0.820722379705239
2021,4,TARIA2M,2208,-3,8.538451086956522,4.6,8.1,4.6,19.886000000000013,25.6,5.580416170139257
2022,1,PREC,2160,0,0.03574074074074074,0,0,0,0.3640000000000328,5,0.2964986464447888
2022,1,TARIA2M,2160,-4.8,5.580787037037037,1.4,5.5,1.4,17.864000000000033,22.4,5.214975259564326
2022,2,PREC,1,0,0,0,0,0,0,0,NA
2022,2,TARIA2M,1,9.9,9.9,9.9,9.9,9.9,9.9,9.9,NA
