anno,semestre,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,1,TARIA2M,4343,-6.1,11.963136081049965,5.5,11.6,5.5,31.4,38.4,8.730830394359698
2019,2,PREC,2831,0,0.18262098198516424,0,0,0,2.480000000000018,14.6,0.8856342584198114
2019,2,TARIA2M,4416,-3.9,16.891145833333333,10.6,16.9,10.6,32.5,37,8.460454458798061
2020,1,PREC,4368,0,0.09377289377289377,0,0,0,1,27,0.8339694633995298
2020,1,TARIA2M,4368,-3.5,12.226625457875459,6.3,11.9,6.3,27.3,32.1,7.781237723702187
2020,2,PREC,4368,0,0.12664835164835164,0,0,0,2,31.4,0.839239480906869
2020,2,TARIA2M,4416,-2.7,15.916666666666666,8.4,16.6,8.4,32.2,36.1,8.973565473778708
2021,1,PREC,4344,0,0.1270257826887661,0,0,0,2.2,14.6,0.7348731132260591
2021,1,TARIA2M,4344,-6,11.673802946593002,5.6,10.8,5.6,30.3,33.8,8.355882561212331
2021,2,PREC,4416,0,0.11838768115942029,0,0,0,1,48.2,1.1815672759935092
2021,2,TARIA2M,4416,-3,15.665126811594202,8.1,16.5,8.1,31.2,35.3,8.853050347737009
2022,1,PREC,2161,0,0.035724201758445165,0,0,0,0.3600000000000364,5,0.29643100160902475
2022,1,TARIA2M,2161,-4.8,5.582785747339194,1.4,5.5,1.4,17.860000000000035,22.4,5.214595774158419
