codSTZ;tipoSENS;giorno;ora;minimo;medio;massimo
153;LFREAT;26/11/2019;15:00;22.760;22.760;22.760
153;LFREAT;26/11/2019;16:00;22.740;22.740;22.740
153;LFREAT;26/11/2019;17:00;22.730;22.730;22.730
153;LFREAT;26/11/2019;18:00;22.710;22.710;22.710
153;LFREAT;26/11/2019;19:00;22.690;22.690;22.690
153;LFREAT;26/11/2019;20:00;22.670;22.670;22.670
153;LFREAT;26/11/2019;21:00;22.650;22.650;22.650
153;LFREAT;26/11/2019;22:00;22.630;22.630;22.630
153;LFREAT;26/11/2019;23:00;22.610;22.610;22.610
153;LFREAT;27/11/2019;00:00;22.590;22.590;22.590
153;LFREAT;27/11/2019;01:00;22.560;22.560;22.560
153;LFREAT;27/11/2019;02:00;22.540;22.540;22.540
153;LFREAT;27/11/2019;03:00;22.520;22.520;22.520
153;LFREAT;27/11/2019;04:00;22.500;22.500;22.500
153;LFREAT;27/11/2019;05:00;22.480;22.480;22.480
153;LFREAT;27/11/2019;06:00;22.460;22.460;22.460
153;LFREAT;27/11/2019;07:00;22.440;22.440;22.440
153;LFREAT;27/11/2019;08:00;22.420;22.420;22.420
153;LFREAT;27/11/2019;09:00;22.400;22.400;22.400
153;LFREAT;27/11/2019;10:00;22.380;22.380;22.380
153;LFREAT;27/11/2019;11:00;22.360;22.360;22.360
153;LFREAT;27/11/2019;12:00;22.330;22.330;22.330
153;LFREAT;27/11/2019;13:00;22.310;22.310;22.310
153;LFREAT;27/11/2019;14:00;22.290;22.290;22.290
153;LFREAT;27/11/2019;15:00;22.260;22.260;22.260
153;LFREAT;27/11/2019;16:00;22.250;22.250;22.250
153;LFREAT;27/11/2019;17:00;22.220;22.220;22.220
153;LFREAT;27/11/2019;18:00;22.210;22.210;22.210
153;LFREAT;27/11/2019;19:00;22.180;22.180;22.180
153;LFREAT;27/11/2019;20:00;22.170;22.170;22.170
153;LFREAT;27/11/2019;21:00;22.150;22.150;22.150
153;LFREAT;27/11/2019;22:00;22.130;22.130;22.130
153;LFREAT;27/11/2019;23:00;22.110;22.110;22.110
153;LFREAT;28/11/2019;00:00;22.090;22.090;22.090
153;LFREAT;28/11/2019;01:00;22.070;22.070;22.070
153;LFREAT;28/11/2019;02:00;22.050;22.050;22.050
153;LFREAT;28/11/2019;03:00;22.030;22.030;22.030
153;LFREAT;28/11/2019;04:00;22.020;22.020;22.020
153;LFREAT;28/11/2019;05:00;21.990;21.990;21.990
153;LFREAT;28/11/2019;06:00;21.970;21.970;21.970
153;LFREAT;28/11/2019;07:00;21.960;21.960;21.960
153;LFREAT;28/11/2019;08:00;21.940;21.940;21.940
153;LFREAT;28/11/2019;09:00;21.930;21.930;21.930
