codSTZ;tipoSENS;giorno;ora;minimo;medio;massimo
153;TFREAT;26/11/2019;15:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;16:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;17:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;18:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;19:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;20:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;21:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;22:00;12.90;12.90;12.90
153;TFREAT;26/11/2019;23:00;12.90;12.90;12.90
153;TFREAT;27/11/2019;00:00;12.90;12.90;12.90
153;TFREAT;27/11/2019;01:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;02:00;12.90;12.90;12.90
153;TFREAT;27/11/2019;03:00;12.90;12.90;12.90
153;TFREAT;27/11/2019;04:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;05:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;06:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;07:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;08:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;09:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;10:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;11:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;12:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;13:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;14:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;15:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;16:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;17:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;18:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;19:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;20:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;21:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;22:00;12.89;12.89;12.89
153;TFREAT;27/11/2019;23:00;12.88;12.88;12.88
153;TFREAT;28/11/2019;00:00;12.89;12.89;12.89
153;TFREAT;28/11/2019;01:00;12.88;12.88;12.88
153;TFREAT;28/11/2019;02:00;12.88;12.88;12.88
153;TFREAT;28/11/2019;03:00;12.89;12.89;12.89
153;TFREAT;28/11/2019;04:00;12.88;12.88;12.88
