codSTZ;tipoSENS;giorno;ora;minimo;medio;massimo
110;TARIA2M;01/01/2019;01:00;0.5;0.8;1.1
110;TARIA2M;01/01/2019;02:00;1.0;1.2;1.6
110;TARIA2M;01/01/2019;03:00;1.7;2.3;2.7
110;TARIA2M;01/01/2019;04:00;2.9;3.5;4.1
110;TARIA2M;01/01/2019;05:00;3.9;4.6;4.9
110;TARIA2M;01/01/2019;06:00;4.2;4.3;4.4
110;TARIA2M;01/01/2019;07:00;4.6;4.8;4.9
110;TARIA2M;01/01/2019;08:00;3.7;4.2;4.7
110;TARIA2M;01/01/2019;09:00;3.4;3.7;4.0
110;TARIA2M;01/01/2019;10:00;4.1;4.6;4.9
110;TARIA2M;01/01/2019;11:00;5.1;5.3;5.5
110;TARIA2M;01/01/2019;12:00;5.8;6.1;6.5
110;TARIA2M;01/01/2019;13:00;6.0;6.3;6.4
110;TARIA2M;01/01/2019;14:00;5.9;6.0;6.1
110;TARIA2M;01/01/2019;15:00;5.5;5.8;6.0
110;TARIA2M;01/01/2019;16:00;4.5;5.0;5.4
110;TARIA2M;01/01/2019;17:00;2.0;3.1;4.0
110;TARIA2M;01/01/2019;18:00;0.7;1.2;1.6
110;TARIA2M;01/01/2019;19:00;-0.1;0.1;0.3
110;TARIA2M;01/01/2019;20:00;-0.6;-0.5;-0.3
110;TARIA2M;01/01/2019;21:00;-1.1;-0.9;-0.7
110;TARIA2M;01/01/2019;22:00;-0.6;-0.3;0.1
110;TARIA2M;01/01/2019;23:00;0.0;0.2;0.6
110;TARIA2M;02/01/2019;00:00;0.6;0.6;0.7
110;TARIA2M;02/01/2019;01:00;-0.1;0.3;0.5
110;TARIA2M;02/01/2019;02:00;-0.9;-0.6;-0.2
110;TARIA2M;02/01/2019;03:00;-2.2;-1.6;-1.1
110;TARIA2M;02/01/2019;04:00;-3.0;-2.8;-2.5
110;TARIA2M;02/01/2019;05:00;-3.1;-3.1;-3.0
110;TARIA2M;02/01/2019;06:00;-3.3;-3.2;-3.0
110;TARIA2M;02/01/2019;07:00;-3.7;-3.4;-3.3
110;TARIA2M;02/01/2019;08:00;-3.4;-3.2;-3.0
110;TARIA2M;02/01/2019;09:00;-3.0;-2.7;-2.2
110;TARIA2M;02/01/2019;10:00;-1.3;-0.5;0.2
110;TARIA2M;02/01/2019;11:00;1.0;1.9;3.0
110;TARIA2M;02/01/2019;12:00;3.9;7.4;10.7
110;TARIA2M;02/01/2019;13:00;10.7;10.9;11.0
110;TARIA2M;02/01/2019;14:00;11.0;11.1;11.2
110;TARIA2M;02/01/2019;15:00;10.7;10.8;10.9
110;TARIA2M;02/01/2019;16:00;9.6;10.0;10.4
110;TARIA2M;02/01/2019;17:00;7.3;8.3;9.1
110;TARIA2M;02/01/2019;18:00;4.2;5.4;6.7
110;TARIA2M;02/01/2019;19:00;5.5;6.6;7.2
110;TARIA2M;02/01/2019;20:00;5.4;6.0;6.4
110;TARIA2M;02/01/2019;21:00;5.1;5.6;6.0
110;TARIA2M;02/01/2019;22:00;1.6;3.0;4.6
110;TARIA2M;02/01/2019;23:00;0.6;1.7;3.0
110;TARIA2M;03/01/2019;00:00;-1.1;-0.4;0.2
110;TARIA2M;03/01/2019;01:00;-0.9;-0.5;0.4
110;TARIA2M;03/01/2019;02:00;-2.2;-1.8;-1.4
110;TARIA2M;03/01/2019;03:00;-2.6;-2.4;-2.2
110;TARIA2M;03/01/2019;04:00;-2.9;-2.5;-2.0
110;TARIA2M;03/01/2019;05:00;-3.9;-3.5;-3.3
110;TARIA2M;03/01/2019;06:00;-4.6;-4.3;-4.1
110;TARIA2M;03/01/2019;07:00;-4.8;-4.4;-3.9
110;TARIA2M;03/01/2019;08:00;-4.6;-4.5;-4.3
110;TARIA2M;03/01/2019;09:00;-4.3;-3.0;-1.0
110;TARIA2M;03/01/2019;10:00;-0.8;0.3;1.1
110;TARIA2M;03/01/2019;11:00;0.4;1.1;1.6
110;TARIA2M;03/01/2019;12:00;3.7;4.3;4.7
110;TARIA2M;03/01/2019;13:00;5.2;5.9;6.9
110;TARIA2M;03/01/2019;14:00;5.4;6.1;6.5
110;TARIA2M;03/01/2019;15:00;6.4;6.6;6.7
110;TARIA2M;03/01/2019;16:00;5.7;5.9;6.2
110;TARIA2M;03/01/2019;17:00;1.8;3.8;6.2
110;TARIA2M;03/01/2019;18:00;-0.4;0.5;1.2
110;TARIA2M;03/01/2019;19:00;-1.4;-1.0;-0.6
110;TARIA2M;03/01/2019;20:00;-2.3;-2.1;-1.7
110;TARIA2M;03/01/2019;21:00;-3.2;-2.8;-2.6
110;TARIA2M;03/01/2019;22:00;-4.4;-3.8;-3.3
110;TARIA2M;03/01/2019;23:00;-4.6;-4.4;-3.9
110;TARIA2M;04/01/2019;00:00;-4.5;-4.2;-3.8
110;TARIA2M;04/01/2019;01:00;-5.6;-5.1;-4.8
110;TARIA2M;04/01/2019;02:00;-5.6;-5.3;-5.1
110;TARIA2M;04/01/2019;03:00;-5.7;-5.3;-5.0
110;TARIA2M;04/01/2019;04:00;-6.1;-5.7;-5.2
110;TARIA2M;04/01/2019;05:00;-6.1;-5.8;-5.5
110;TARIA2M;04/01/2019;06:00;-5.9;-5.8;-5.6
110;TARIA2M;04/01/2019;07:00;-6.3;-5.8;-4.6
110;TARIA2M;04/01/2019;08:00;-2.6;-1.8;-1.5
110;TARIA2M;04/01/2019;09:00;-1.2;-0.5;0.3
110;TARIA2M;04/01/2019;10:00;0.9;1.7;2.3
110;TARIA2M;04/01/2019;11:00;2.8;3.7;4.7
110;TARIA2M;04/01/2019;12:00;4.6;4.8;5.0
110;TARIA2M;04/01/2019;13:00;4.6;4.8;5.0
110;TARIA2M;04/01/2019;14:00;4.4;4.6;4.7
110;TARIA2M;04/01/2019;15:00;4.3;4.6;4.8
110;TARIA2M;04/01/2019;16:00;4.7;5.0;5.3
110;TARIA2M;04/01/2019;17:00;1.6;2.7;3.9
110;TARIA2M;04/01/2019;18:00;-0.2;0.4;0.8
110;TARIA2M;04/01/2019;19:00;-0.9;-0.7;-0.3
110;TARIA2M;04/01/2019;20:00;-2.3;-1.9;-1.1
110;TARIA2M;04/01/2019;21:00;-3.1;-2.7;-2.3
110;TARIA2M;04/01/2019;22:00;-3.1;-3.0;-2.8
110;TARIA2M;04/01/2019;23:00;-3.1;-2.9;-2.6
110;TARIA2M;05/01/2019;00:00;-3.1;-2.9;-2.8
110;TARIA2M;05/01/2019;01:00;-2.7;-2.2;-1.7
110;TARIA2M;05/01/2019;02:00;-3.5;-2.9;-2.3
110;TARIA2M;05/01/2019;03:00;-4.4;-4.2;-3.9
110;TARIA2M;05/01/2019;04:00;-4.6;-4.5;-4.4
110;TARIA2M;05/01/2019;05:00;-4.8;-4.7;-4.5
110;TARIA2M;05/01/2019;06:00;-5.0;-4.9;-4.8
110;TARIA2M;05/01/2019;07:00;-5.4;-5.1;-4.8
